RESULTS LOG: 
INTERNAL REUSE TOTAL: 300 
<|java+class:///org/objectweb/cjdbc/common/i18n/ConsoleTranslate|,|java+class:///org/objectweb/cjdbc/common/i18n/I18N|> 
<|java+class:///org/objectweb/cjdbc/common/i18n/GuiTranslate|,|java+class:///org/objectweb/cjdbc/common/i18n/I18N|> 
<|java+class:///org/objectweb/cjdbc/common/i18n/JmxTranslate|,|java+class:///org/objectweb/cjdbc/common/i18n/I18N|> 
<|java+class:///org/objectweb/cjdbc/common/i18n/MonitorTranslate|,|java+class:///org/objectweb/cjdbc/common/i18n/I18N|> 
<|java+class:///org/objectweb/cjdbc/common/i18n/Translate|,|java+class:///org/objectweb/cjdbc/common/i18n/I18N|> 
<|java+class:///org/objectweb/cjdbc/common/i18n/WizardTranslate|,|java+class:///org/objectweb/cjdbc/common/i18n/I18N|> 
<|java+class:///org/objectweb/cjdbc/common/monitor/backend/AbstractBackendDataCollector|,|java+class:///org/objectweb/cjdbc/common/monitor/AbstractDataCollector|> 
<|java+class:///org/objectweb/cjdbc/common/monitor/cache/AbstractCacheStatsDataCollector|,|java+class:///org/objectweb/cjdbc/common/monitor/AbstractDataCollector|> 
<|java+class:///org/objectweb/cjdbc/common/monitor/client/AbstractClientDataCollector|,|java+class:///org/objectweb/cjdbc/common/monitor/AbstractDataCollector|> 
<|java+class:///org/objectweb/cjdbc/common/monitor/controller/AbstractControllerDataCollector|,|java+class:///org/objectweb/cjdbc/common/monitor/AbstractDataCollector|> 
<|java+class:///org/objectweb/cjdbc/common/monitor/scheduler/AbstractSchedulerDataCollector|,|java+class:///org/objectweb/cjdbc/common/monitor/AbstractDataCollector|> 
<|java+class:///org/objectweb/cjdbc/common/monitor/virtualdatabase/AbstractVirtualDatabaseDataCollector|,|java+class:///org/objectweb/cjdbc/common/monitor/AbstractDataCollector|> 
<|java+class:///org/objectweb/cjdbc/common/sql/AbstractWriteRequest|,|java+class:///org/objectweb/cjdbc/common/sql/AbstractRequest|> 
<|java+class:///org/objectweb/cjdbc/common/sql/AlterRequest|,|java+class:///org/objectweb/cjdbc/common/sql/AbstractWriteRequest|> 
<|java+class:///org/objectweb/cjdbc/common/sql/CreateRequest|,|java+class:///org/objectweb/cjdbc/common/sql/AbstractWriteRequest|> 
